series,episode,baker,signature,technical,showstopper
7,5,Rav,"Cinnamon Swirls & Pecan, Walnut and Maple Plaits",8th,Chinese-Style Prawn Filo Tartlets & Spiced White Chocolate and Hazelnut Samosas
7,5,Selasi,"Rhubarb, Mango and Ginger Plait & Pineapple and Coconut Pinwheels",3rd,"Parma Ham, Asparagus and Cheese Filo Cigars & Coffee Cream Filo Cups"
7,5,Tom,Mega Breakfast Bonanzas; Granola Spirals & Wheat Foldovers,4th,Yin and Yang Amuse-bouche
7,5,Val,"Pecan and Maple Syrup Pinwheels & Apple, Sultana and Cinnamon Swirls",7th,"Caramelised Red Onion, Goat's Cheese Tartlets & Mincemeat and Apple Spiced Parcels"
7,6,Andrew,Tangy Lime and Ginger Meringue Pie,6th,Spring Elderflower Trio
7,6,Benjamina,Grapefruit and Ginger Meringue Pie,2nd,Floral Tea Cake
7,6,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5th,Four Seasons Cake
7,6,Jane,Lime and Coconut Meringue Pie,4th,Three-Tier Orange Cake with a Floral Chocolate Collar
7,6,Rav,Mandarin Margarita Meringue Pie,3rd,Blossom Cake
7,6,Selasi,"Grapefruit, Orange and Mint Meringue Pie",7th,Three-Tiered Ombré Floral Cake
7,6,Tom,Blood Orange Halloween Pumpkin Pie,1st,Floral Tea Cake
7,7,Andrew,Tropical Holiday Roulade,1st,Childhood Ice Cream Mousse Cakes
7,7,Benjamina,Piña Colada Roulade,3rd,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
7,7,Candice,Crowd Pleaser Roulade,2nd,Blackberry and Raspberry Bubbles and After Dinner Mousse
7,7,Jane,Chocolate and Hazelnut Roulade,4th,"Chocolate, Coffee and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombré Mousses"
7,7,Selasi,Summer Picnic Roulade,6th,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
7,7,Tom,Millionaire's Roulade,5th,Hipster Picnic
7,8,Andrew,Da Vinci Inspired Geared Pies,2nd,Jousting Knights Marchpane
7,8,Benjamina,Mexican Adventure,4th,Tudor Garden
7,8,Candice,Cheesy Cheeky Fish Pies,1st,Peacock
7,8,Jane,Tudor Rose Pies,5th,Swans
7,8,Selasi,Bouquet of Flowers,3rd,Fruity Tudor Marchpane
7,9,Andrew,Cheesy Elephant Ears & Herby Treble Clefs,2nd,Philharmonic Fondants
7,9,Candice,"Red Onion, Cambozola and Walnut Palmiers & Walnut, Streaky Bacon and Mushroom Palmiers",3rd,Chocolate Praline Fondant Fancies & Cherry Bakewell Fondant Fancies
7,9,Jane,"Pesto and Sundried Tomato Palmiers & Goat Cheese, Olive and Parma Ham Palmiers",1st,Pistachio and Raspberry Fondant Fancies & Lemon Curd Surprise Fondant Fancies
7,9,Selasi,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers & Salmon, Spinach and Mushroom Palmiers",4th,Lime and Ginger Fondant Fancies & Pink Velvet and Raspberry Prosecco Fondant Fancies
7,10,Andrew,Crunchy Caramel Cassis Crown,1st,Family and Friends' Favourites Picnic
7,10,Candice,Queen Victoria's Mango and Strawberry Crown,2nd,Picnic for Pearly Kings and Queens
7,10,Jane,"Red, White and Blue Meringue Crown",3rd,Family Favourites Feast
8,1,Chris,Tropical Fresh Fruit Cake,12th,'Raised Pork Pie and Egg Surprise' Cake
