series,episode,baker,signature,technical,showstopper
2,5,Mary-Anne,Chicken and Bacon Pie,2nd,Midnight Meringue
2,5,Robert,Chicken and Mushroom Pie,3rd,Rhubarb and Custard Meringue Pie
2,5,Yasmin,Family Fish Pie,5th,Peach and Raspberry Meringue Pie
2,6,Holly,Father Christmas' Baked Cheesecake,3rd,Hansel and Gretel's Croquembouche
2,6,Janet,Rhubarb and Ginger Baked Cheesecake,5th,Orange and Nougatine Croquembouche
2,6,Joanne,Rum and Raisin Baked Cheesecake,1st,Limoncello and White Chocolate Croquembouche
2,6,Mary-Anne,Tutti Fruitti Curd Baked Cheesecake,4th,Orange and Praline Croquembouche with Cardamom Caramel
2,6,Yasmin,Baked Amaretto Cheesecake,2nd,Rose Croquembouche
2,7,Holly,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake",1st,"Apricot, Macadamia and White Chocolate Pinwheels
Almond Croissants
Apple, Raisin and Cinnamon Plaits"
2,7,Janet,Chocolate Amaretto Mousse Cake,4th,"Pain Aux Raisin
Plain Croissant
Pain Au Chocolat"
2,7,Joanne,Raspberry & Strawberry Mousse Cake,3rd,"Pain Aux Raisin
Chocolate Twists
Banana and Raisin Pastries"
2,7,Mary-Anne,Chocolate and Orange Mousse Cake,2nd,"Raspberry Rose Danishes
Praline SpiralsAlsatian Plaited Danishes"
2,8,Holly,Banoffee Inspired Mille Feuille,2nd,"Strawberry and Cream Meringue Nest
Gooseberry and Elderflower 'Bakewell' Tarts
Neapolitan Ice-Cream Sandwich"
2,8,Joanne,Raspberry and Blueberry Mille Feuille,1st,"Mini Victoria Sandwiches
Raspberry, White Chocolate and Pistachio Mini Meringues
Mini Banoffee Pie with Banana Mousse"
2,8,Mary-Anne,Lemon and Ginger Mille Feuille,3rd,"Fruit Tarts with Elderflower Custard
Strawberry and Rhubarb Cheesecakes
Black Fruit Meringue with Everlasting Syllabub"
3,1,Brendan,"Plum, Sour Cherry & Walnut Upside Down Cake",10th,UNKNOWN
3,1,Cathryn,"Apple, Hazelnut and Calvados Upside Down Cake",5th,Hidden Cupcake Cake
3,1,Danny,"Plum, Ginger & Orange Upside Down Cake",7th,UNKNOWN
3,1,James,"Parsnip, Pear, and Pecan Upside Down Cake",2nd,"""Simmer Dim"" Sunset Cake"
3,1,John,"Toffee Apple, Orange & Cranberry Upside Down Cake",11th,Hidden Pink Hearts Cake
3,1,Manisha,"Vanilla, Peach and Raspberry Upside Down Cake",6th,UNKNOWN
3,1,Natasha,Pineapple & Passion Fruit Upside Down Cake,12th,Mother's Day Layered Rose Cake
3,1,Peter,"Pear, Muscat & Chocolate Upside Down Cake",3rd,Jubilee Cake
3,1,Ryan,Kumquat and Orange Polenta Upside Down Cake,8th,Hidden Flowerbed Mousse Cake
3,1,Sarah-Jane,"Pear, Chocolate and Hazelnut Upside Down Cake",1st,Hidden Crown Cake
3,1,Stuart,Tomato and Ginger Upside Down Cake,9th,Lemon and Pistachio Union Flag Cake
3,1,Victoria,Pear and Pecan Upside Down Cake,4th,Blackbird Pie Cake
3,2,Brendan,"Middle Eastern Taboon Bread
Indian Roti",4th,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
3,2,Cathryn,"Spiced Mango Naan
Lime, Coriander and Chilli Tortilla",8th,"Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
3,2,Danny,"Lime Coriander and Coconut Tortillas
Zaatar Naan with Dukkah",3rd,UNKNOWN
3,2,James,"Tomato, Garlic, and Parmesan FlatbreadTattie Scones",2nd,"Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
3,2,John,"Coriander and Chilli Rotis
Garlic, Pomegranate and Potato Pitas",1st,"Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
3,2,Manisha,"Indian Flatbreads
Italian Flatbreads",6th,UNKNOWN
3,2,Peter,Fennel and Nigella Seed NaanBannock Bread,11th,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
3,2,Ryan,"Shanghai Spring Onion Flatbread
Garlic and Coriander Naan",5th,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
3,2,Sarah-Jane,Coconut RotiOatcakes,10th,UNKNOWN
3,2,Stuart,"Bombay Bread
Chorizo and Spring Onion Naan",9th,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
3,2,Victoria,"Coriander and Lemon Naan
Garlic and Parsnip Chapatis",7th,"Saffron and Golden Raisin Bagels
Porcini Bagels"
3,3,Brendan,Apple and Ginger Tarte Tatin,9th,"Blackberry, Nectarine and Dragon Fruit Tart"
3,3,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin",3rd,"Raspberry, Pistachio and Lemon Tart"
3,3,Danny,Savoury Pear and Roquefort Tarte Tatin,2nd,"Pineapple, Coconut and Frangipane Tart"
3,3,James,Apple and Lavender Tarte Tatin,1st,"Rose, Lychee and Raspberry Fruit Tart"
3,3,John,Apple and Vanilla Tarte Tatin with Walnut Praline,6th,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
3,3,Manisha,"Cinnamon, Apple and Pear Tarte Tatin",10th,Rum and Tropical Fruit Tart
3,3,Ryan,Spiced Pear Tarte Tatin,5th,UNKNOWN
3,3,Sarah-Jane,Caramelised Banana Tarte Tatin,8th,French Apple Tart with Blackberry and Cassis Jam
3,3,Stuart,Pear and Almond Tarte Tatin,7th,Raspberry Triple Chocolate Layered Tart
3,3,Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4th,Tropical Fruit Tart with Black Pepper Crust
3,4,Brendan,Clementine and Chestnut Torte,1st,"Pear, Chocolate and Hazelnut Dacquoise"
3,4,Cathryn,"White Chocolate, Macadamia and Coffee Torte",3rd,"Gooseberry, Almond and Honey Meringue"
3,4,Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2nd,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
3,4,James,"Hazelnut, Chocolate and Passionfruit Torte",5th,"Fig, Chestnut, Cherry and Chocolate Layered Meringue"
3,4,John,'Torte Noir' Black Forest Torte with Boozy Cream,6th,Elderflower and Bramble Berry Pavlova
3,4,Manisha,"Almond, Chocolate and Cherry Torte",9th,Tiramisu Layered Meringue Dessert
3,4,Ryan,Green Tea Opera Torte,7th,"Strawberry, Rose and Pistachio Meringue"
3,4,Sarah-Jane,Chocolate and Almond Truffle Torte,4th,Hazelnut Tiramisu Layered Meringue
3,4,Stuart,Black Forest Torte,8th,Choca Blocka Mocha Meringue
3,5,Brendan,Salmon Coulibiac in a Scandinavian Pastry,3rd,All American Chiffon Pie
3,5,Cathryn,Full English Wellington,1st,Chocolate and Peanut Butter Pumpkin Pie
3,5,Danny,"Chickpea, Spinach & Mushroom Wellington",7th,Trick or Treat Pumpkin Pie
3,5,James,Four Pig Wellington,6th,Sweet Potato Pie
3,5,John,Venison and Haggis Wellington,2nd,Star-Spangled Pecan Pie
3,5,Manisha,Lamb Wellington with Rosemary and Mint,5th,Banana Scotch Pie
3,5,Ryan,Curry Spiced Seabass Wellington,8th,Key Lime Pie
3,5,Sarah-Jane,Beef Wellington with Parma Ham and Gorgonzola Cheese,4th,Chocolate and Banana Cream Pie
3,6,Brendan,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings",1st,"Spinach, Cheese and Walnut Strudel"
3,6,Cathryn,"Chocolate Walnut Whip Puddings
Elderflower Sponges",3rd,Roasted Vegetable Couscous and Sheep Cheese Strudel
3,6,Danny,"Banoffee Puddings with Walnut Butterscotch Sauce
Jubilee Chocolate Fondants",2nd,"Leek, Potato, Pistachio and Gruyère Strudel"
3,6,James,Banana and Clove PuddingsClootie Dumplings,7th,"Strawberry, Rhubarb and Ginger Strudel"
3,6,John,"Spicy Toffee Puddings
Raspberry and White Chocolate Puddings",5th,Did not complete due to injury
3,6,Ryan,"Chocolate Fondants
Sticky Ginger and Date Puddings",6th,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
3,6,Sarah-Jane,"Sticky Toffee Puddings
Granny's Saucy Lemon Puddings",4th,Sweet Strudel with Sour Cherries
3,7,Brendan,Chelsea Bunski's,4th,Black Forest Christmas Stollen
3,7,Cathryn,Lady Arundel's Manchet Buns,5th,Bonfire Night Tear 'n' Share Brioche
3,7,Danny,Bakewell Chelsea Buns,2nd,European Christmas Wreath
3,7,James,Easter Chelsea Buns,1st,Whisky Kugelhopf-Brioche Baba
3,7,John,Cherry and Almond Saffron Buns,3rd,Marzipan Stollen
3,7,Ryan,Lardy Cakes,6th,Char Siu Bao
3,7,Sarah-Jane,"Orange, Nutmeg and Saffron Buns",7th,Sour Cherry and Dark Chocolate Christmas Plait
3,8,Brendan,Multi-Seed Savoury Crackers,2nd,Fantasy Gingerbread Bird House
3,8,Cathryn,Cheese and Pickle Crackers,5th,Gingerbread Buckingham Palace
3,8,Danny,Spiced Almond Drinks Crackers,4th,Gingerbread Big Ben
3,8,James,"Smoky Cayenne, Cumin and Chilli Crackers",1st,Gingerbread Barn
3,8,John,Asian Spice Crackers,3rd,Gingerbread Roman Coliseum
3,9,Brendan,"Coffee Meringue and Hazelnut Creams
Apricot and Pistachio Friands
Lime Curd Choux Pastry Cygnets",3rd,Gateau St. Honoré
3,9,Danny,"Blackberry and Peppermint Macaroons
Miniature Raspberry and Basil Financiers
Orange and White Chocolate Langues de Chat",4th,Rosewater and Lychee St. Honoré
3,9,James,"Lemon and Rhubarb Tartlets
Chocolate Indulgence Petits Fours
Chilli, Lime and Raspberry Macaroons",1st,"Coffee, Caramel and Hazelnut Paris-Brest"
3,9,John,"Lemon Madeleines
White Chocolate and Raspberry Tartlets
Dark Chocolate and Cherry Macaroons",2nd,Gateau St. Honoré a la Passion
3,10,Brendan,Potato and Pepper Pithivier,2nd,Family Reunion Chiffon Cake
3,10,James,Spanish Pithivier with Chorizo and Red Pepper,1st,United Chiffon Cakes
3,10,John,Italian Sausage and Roasted Vegetable Pithivier,2nd,Heaven and Hell Chiffon Cake
4,1,Ali,Rose and Pistachio Cake,11th,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
4,1,Beca,Grapefruit Sandwich Cake,8th,Chocolate Cherry Indulgence
4,1,Christine,"Strawberry, Vanilla and Rosewater Summer Basket",3rd,Chocolate and Orange 'Fripperous' Hat Cake
4,1,Deborah,Pineapple Cake,9th,'Coffee Time'
4,1,Frances,Giant Jam Sandwich,7th,Secret Squirrel Cake
4,1,Glenn,Strawberries and Cream Cake,4th,Almond and Espresso Chocolate Cake
4,1,Howard,Passion Fruit and Coconut Cake,6th,Black Forest Revisited
4,1,Kimberley,Blood Orange Cake,10th,"Chocolate, Raspberry & Basil Layer Cake"
4,1,Lucy,Timperley Early Cake,2nd,Thyme 'Wildwood' Cake
4,1,Mark,Lemon and Poppy Seed Cake,5th,Chocolate Monster
4,1,Robert,Pecan and Apple Cake,1st,Raspberry Chocolate Cake
4,1,Ruby,Rhubarb and Custard Sandwich Cake,12th,Chocolate and Ginger Night Sky Cake
4,1,Toby,Spiced and Iced Carrot Cake,13th,Two Tiered Chocolate Cake
4,2,Ali,Italian Grissini,9th,Sweet (White Chocolate & Apricots) and Savoury (Chicken Tikka & Paneer) Yin Yang Bread
4,2,Beca,Fennel and Chilli Breadsticks,11th,"Five Strand Christmas Wreath (Sultanas, Cinnamon and Honey)"
4,2,Christine,Mediterranean Breadsticks with Oregano,4th,"Double Plaited Loaf (Onion, Cheese, and Bacon)"
4,2,Deborah,Fennel & Chilli Breadsticks,8th,Walnut Fleur Loaf
4,2,Frances,Giant Matchsticks,2nd,Sailor's Knot
4,2,Glenn,Rosemary and Parmesan Grissini,7th,Harvest Crown
4,2,Howard,Moroccan Breadsticks,10th,Picasso Sun Bread (Oregano and Orange Zest)
4,2,Kimberley,Nigella Seed and Parmesan Breadsticks,1st,Peace Bread (Za'atar Spice Mix and Garlic)
4,2,Lucy,Grissini with Salt,12th,Roast Tomato Bread
4,2,Mark,Rosemary & Raisin Breadsticks,6th,Sage & Garlic Plait
4,2,Robert,Twisty Rye Bread Sticks,5th,Tribute Loaf
4,2,Ruby,Mexican Breadsticks,3rd,White Chocolate and Orange Peacock Bread
4,3,Ali,"Coconut, Raspberry and Lemon Meringue Trifle",5th,"Vanilla Latte Mini Cakes
Lime & Mint Shortbread Pops"
4,3,Beca,Orange and Ginger Trifle,10th,Limoncello and Blueberry BurstsMillionaire Shortbread
4,3,Christine,Caribbean Pina Colada Trifle,4th,Ninety-NinersSachertorte Parcels
4,3,Deborah,Tropical Trifle*,9th,"Canelé Cherry and Chocolate Cakes
Rose Cookies"
4,3,Frances,Apple and Blackberry Crumble Trifle,8th,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
4,3,Glenn,Raspberry and Almond Trifle,1st,"Billionaire Bouchées
Orange Financiers"
4,3,Howard,Caramel and Apple Trifle*,7th,"Black Coffee and Cardamom Cakes
White Stilton and Pear Biscuits"
4,3,Kimberley,"Peach, Almond and Ginger Trifle",6th,"Chocolate Pistachio Financiers
Lemon Bergamot Biscuits"
4,3,Mark,"Ginger, Mango and Passion Fruit Trifle",11th,"Rose and Pistachio Macaroons
Chocolate and Raspberry Bites"
4,3,Robert,Rhubarb and Orange Trifle,2nd,Almond FriandsTurǫn Macaroons
4,3,Ruby,Desert Island Trifle,3rd,"Lemon Shortbread and White Chocolate Seashells
Blackberry and Chocolate Layer Cakes"
4,4,Ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,8th,"Orange, Cardamom and Date M'Hanncha"
4,4,Beca,Mamgu's Cherry-Apple Tart,2nd,Moroccan Vegetable Filo Feast
4,4,Christine,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",7th,Roasted Vegetable Filo Pie with Feta Cheese
4,4,Frances,Peach Pie In the Sky,1st,Cherry Tree Baklava Filo Pie
4,4,Glenn,Apple & Maple Syrup Pie,9th,Spanakopita (Walnut and Feta Cheese)
4,4,Howard,Apple Pie with Sage Pastry,5th,Fresh Fig and Feta Filo Flan
4,4,Kimberley,Pecan and Rosemary Caramel Apple Pie,4th,"Chicken, Bacon and Butternut Squash Pie"
4,4,Robert,Apple and Pear Pie with Thyme,3rd,Spanakopita with St George's Mushrooms
4,4,Ruby,Apple and Marzipan Pie,6th,"Rose, Almond and Raspberry Filo Pie"
4,5,Beca,"Chocolate, Cherry and Hazelnut Brownies",5th,Tiered Macaron and Sugar Dough Biscuit Centrepiece
4,5,Christine,Mixed Berry and Almond Crumble Traybake,1st,Shortbread Bavarian Clock Tower
4,5,Frances,Millionaire Banoffee Bonus,3rd,Biscuit Buttons and Beads
4,5,Glenn,Apricot and Pistachio Tiffin,2nd,Shortbread and Macaron Helter-Skelter
4,5,Howard,Breakfast Traybake,8th,Japanese Pagoda Tea Tower
4,5,Kimberley,Cherry and Almond Bakewell Florentine Slice,7th,Black and White Viennese Biscuit Stack
4,5,Robert,Blueberry & Orange Traybake,4th,Dalek
4,5,Ruby,Blackberry and Lemon Bakewell Slice,6th,'Dropped Ice-Cream' Biscuit Centrepiece
4,6,Beca,Bara Brith,6th,"Chocolate and Rum-Soaked Prune Brioches
Cardamom Spiced Lemon Iced Buns"
4,6,Christine,Oxford Nutty Fruit Loaf,4th,"Schnecken Buns
Vanilla Custard Skolebrød"
4,6,Frances,Chai Tea Loaf,2nd,"Hot Cross Brioches
Rhubarb and Custard Kolaches"
4,6,Glenn,Devonshire Panettone,5th,"Almond and Apricot Brioches
Sticky Caramel Kanelbullen"
4,6,Howard,Date & Hemp Yorkshire Loaf,7th,"Peachy Buns
German Baumschnecken"
4,6,Kimberley,Chai Spiced Ginger and Date Tea Loaf,3rd,"Double Chocolate and Hazelnut Brioches
Danish Kanelsnurrer"
4,6,Ruby,Citrus Tea Loaf,1st,"Twisted Swedish Kanelbullar
Saffron St. Lucia Buns"
4,7,Beca,"Spring Lamb and Vegetable Suet Pudding
with Redcurrant Gravy",1st,"Nectarine and Frangipane Squares
Chocolate and Hazelnut Vol-au-vents
Strawberries and Cream Mille-feuille"
4,7,Christine,"Spotted Dick 'With a Kick'
and Vanilla Custard Ice Cream",6th,"Eccles Cakes
Fresh Fruit Baskets
Lemon Cream Eton Mess Mille-feuille"
4,7,Frances,"Figgy Roll-y Poly Pudding
with Caramelised Walnut and Honey Ice-Cream",5th,"French Framboise Cream Horns
Sheet Music Mille-feuille
Bass Clef Palmiers"
4,7,Glenn,"Prune and Armagnac Pudding
with Boozy Butterscotch Sauce",3rd,"Caramelised Apple and Marzipan Tartlets
Chocolate Elephant EarsPassion Fruit Mille-feuille"
4,7,Kimberley,"Barberry and Apple Spotted Dick
with Maple Syrup and White Chocolate Custard",4th,"Pear, Malt and Butterscotch Mille-feuille
Blackberry and Lemon Verbena Crème Brûle Custard Tarts
Fig, Orange and Thyme Galette"
4,7,Ruby,"Plum Jam Roly-Poly
with Ginger Ice cream",2nd,"Raspberry and Passion Fruit Mille-feuille
Caramelised Apple Lattice
Portuguese Custard Tarts"
4,8,Beca,"Potato, Spelt and Rosemary Focaccia",4th,Spiced Butternut Squash and Pecan 'Cheese' Cake
4,8,Christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",5th,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
4,8,Frances,'Chelsea Flour Show' Bun Bouquet,3rd,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
4,8,Kimberley,Wild Garlic Pesto and Parma Ham Spelt Loaf,2nd,Butternut Squash and Spice Cake Toadstool House
4,8,Ruby,Mango and Nigella Seed Spelt Cob,1st,Carrot Cake and Pistachio Garden Plot
4,9,Beca,"Stilton and Walnut Macarons
Beetroot and Salmon Choux PuffsWelsh Rarebit Tartlets",3rd,Banoffee Opera Cake
4,9,Frances,"Legume Canapés:
Chantenay Carrots
Choux Pastry Tomatoes
Cauliflower Cheese Scones",2nd,Great British Soap Opera Cake
4,9,Kimberley,"Pea Purée Tarts
Crab and Wasabi Profiteroles
Steamed Buns with Barbecue Chicken",1st,Passion Fruit and Lime Opera Cake
4,9,Ruby,"Beetroot Jelly on Poppy Seed Biscuits
Spinach, Parmesan and Egg Tartlets
Choux Buns with Goat's Cheese and Caramelised Onions",4th,"Chocolate, Almond Praline and Saffron Opera Cake"
4,10,Frances,Rainbow Picnic Pie,3rd,Midsummer Night's Dream Wedding Cake
4,10,Kimberley,Chicken and Pig Pie,1st,Languages of Love Wedding Cake
4,10,Ruby,Picnic Basket Pie,2nd,"Raspberry, Lemon and Passion Fruit Wedding Cake"
5,1,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",3rd,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
5,1,Claire,Chocolatey Orangey Swirly Roll,8th,Mini Chocolate and Cherry Cakes
5,1,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,5th,Chocolate Ganache Surprises
5,1,Enwezor,Raspberry and Lemon Swiss Roll,9th,Coffee and Walnut Battenberg Squares
5,1,Iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,4th,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
5,1,Jordan,Kawaii Frasier Swiss Roll,12th,Lemon Drizzle Cakes with Blueberry and Lemon Curd
5,1,Kate,Red Velvet and White Chocolate Swiss Roll,6th,Mini Tiered Victoria Sponges
5,1,Luis,Spanish Swiss Roll,7th,Raspberry and Lemon Genoise Slices with Lemon Drizzles
5,1,Martha,Tiramisu Swiss Roll,2nd,Mini Lemon and Thyme Drizzle Cakes
5,1,Nancy,Coffee and Hazelnut Swiss Roll,1st,Jaffa Orange Cakes
5,1,Norman,Black Forest Swiss Roll,11th,Almond and Raspberry Mini Cakes
5,1,Richard,Pistachio and Strawberry Swiss Roll,10th,Miniature Coffee and Walnut Cakes
5,2,Chetna,Fenugreek and Carom Crackers,8th,Day On The Beach
5,2,Diana,Parmesan Triangles,7th,"Express, First Class"
5,2,Enwezor,Pumpkin and Sunflower Savoury Biscuits,9th,Space Adventure Moon Scene
5,2,Iain,Za'atar and Fig Biscuits,11th,Wild West Scene
5,2,Jordan,"Sourdough, Parmesan and Chilli Biscuits",6th,Monster Attack
5,2,Kate,Parmesan and Apple Biscuits,4th,Tea Time
5,2,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3rd,George Versus The Dragon
5,2,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,5th,Ski Village Scene
5,2,Nancy,Fennel and Rye Thins,2nd,Hansel and Gretel Scene
5,2,Norman,Farthing Biscuits,10th,Zulu Boats at Dawn
5,2,Richard,Rosemary Seeded Crackers,1st,Pirates!
5,3,Chetna,Onion and Pine Nut Rolls,8th,Rolled and Filled Twin Loaf
5,3,Diana,Rustic Picnic Rolls,7th,Sharing Savoury Pinwheel
5,3,Iain,Cranberry and Walnut Rye Bread Rolls,9th,Moroccan Plaited with a Bessara Dip
5,3,Jordan,Rye and Spelt Bread Rolls,10th,Strawberry Raspberry Cheesecake Brioche
5,3,Kate,Orange and Cardamom Rye Bread Knots,1st,"Prosciutto, Olive and Coriander Bread"
5,3,Luis,Opposites Attract Rolls,2nd,Roscón de Reyes
5,3,Martha,Date and Walnut Rye Rolls,3rd,Stuffed Sunflower Loaf
5,3,Nancy,Cider and Walnut Crusty Rolls,5th,'Full English' Stromboli
5,3,Norman,Rye Bread Rolls,4th,Chicken and Roasted Vegetable Picnic Loaf
5,3,Richard,Rye and Cranberry Rolls,6th,Pesto Pinwheel
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings",3rd,"Mango, Raspberry and Coconut Baked Alaska"
5,4,Diana,Orange and Lemon Curd Pots,9th,Raspberry Ripple Alaska Swan
5,4,Iain,"Chocolate, Lime and Raspberry Fondants",6th,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
5,4,Kate,Chocolate and Salted Caramel Molten Puddings,7th,"Pistachio, Raspberry and Chocolate Baked Alaska"
5,4,Luis,Pears in Puddings,2nd,Bakewell Alaska
5,4,Martha,Peanut Butter Chocolate Fondants,1st,Key Lime Baked Alaska
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,4th,Summer Pudding Alaska
5,4,Norman,Mini Sticky Toffee Puddings,8th,Baked Alaska with Strawberry Surprise
5,4,Richard,Black Forest Chocolate Fondants,5th,Tiramisu Baked Alaska
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,2nd,Fusion Tiered Pies
5,5,Kate,Rhubarb and Custard Tart,3rd,"Rhubarb, Prune and Apple Pork Pies"
5,5,Luis,Tropical Manchester Tart,6th,Four Fruity Seasons Tower
5,5,Martha,"Pistachio, Apricot and Honey Custard Tart",1st,Three Little Pigs Pie
5,5,Nancy,Chocolate-Crusted Passion Fruit Tart,4th,Trio of Apple Pies
5,5,Norman,Tarte au Citron,5th,Pieful Tower
5,5,Richard,Fig and Orange Tart,7th,Three Course Autumn Pie Feast
5,6,Chetna,Orange Savarin with Cinnamon Cream,2nd,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
5,6,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",6th,Trio of Dobos Tortes
5,6,Luis,Apple & Cinnamon Kugelhopf with Honeyed Apples,3rd,The Cage on the Rocky Hill
5,6,Martha,Dark Chocolate and Almond Liqueur Savarin,4th,Chess-Themed Chocolate and Salted Caramel Dobos Torte
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,1st,Chocolate and Caramel Dobos Torte
5,6,Richard,Fruity Guglhupf with an Orange Glaze,5th,Sugar Forest Dobos Torte
5,7,Chetna,Crispy Lentil Kachori,6th,Chocolate and Mango & Lemon Meringue Éclairs
5,7,Kate,Spinach and Paneer Spicy Samosa,4th,Neapolitan & Lemon Meringue Éclairs
5,7,Luis,Childhood Empanadas,5th,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
5,7,Martha,Mini Beef Wellingtons,3rd,"Rhubarb and Custard Éclairs
Maple Syrup and Bacon Éclairs"
5,7,Nancy,Spicy Duck Pasties,2nd,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
5,7,Richard,Minted Lamb Pasties,1st,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
5,8,Chetna,Date and Walnut Swirl Bread,1st,Chocolate Mousse Filled DoughnutsBraided Doughnuts
5,8,Luis,Black Forest Cherry Tree,2nd,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
5,8,Martha,Spiced Plum Iced Bread Swirl,5th,"Glazed Lemon and Poppy Seed Doughnuts
Chocolate and Passion Fruit Doughnuts"
5,8,Nancy,Lincolnshire Plum Braid,3rd,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
5,8,Richard,Fruit Swedish Tea Ring,4th,Rhubarb and Custard and Toffee Apple Doughnuts
5,9,Chetna,Chocolate and Orange BaklavaMasala Chai Baklava,4th,"Chocolate, Orange and Nut Entremets
Cappuccino Entremets"
5,9,Luis,Indian Rose BaklavaHalwa Baklava Rolls,1st,"Chocolate Mousse and Cherry Entremets
Pomegranate, Fig and Pistachio Sponges"
5,9,Nancy,"Coffee and Chocolate Baklava
Breakfast Baklava",3rd,"Raspberry Nonnettes
Lime and Passion Fruit Entremets"
5,9,Richard,"Rose and Pistachio Baklava
Walnut and Almond Baklava",2nd,"Hazelnut Mocha Entremets
Pink Grapefruit Entremets"
5,10,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2nd,Village in Chocolate
5,10,Nancy,"Apple and Lemon Kites
Raspberry and Almond Croissants",1st,Red Windmill
5,10,Richard,"Pear Pain au Chocolat
Pain Au Lait",3rd,Mill on the Hill
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,2nd,Black Forest Gâteau
6,1,Dorret,Madeira Cake with Candied Lemons,5th,Enchanted Forest Gâteau
6,1,Flora,Blood Orange Madeira Cake,6th,Black Forest Gâteau
6,1,Ian,Somewhere West of Madeira Cake,8th,Black Forest Cherry Tree
6,1,Marie,Zingy Citrus Madeira Cake,3rd,A Walk in the Black Forest
6,1,Mat,Gin and Tonic Madeira Cake,7th,Black Forest Gateau
6,1,Nadiya,Orange and Green Cardamom Madeira Cake,12th,Quadruple Chocolate Black Forest Gâteau
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",10th,Black Forest Chocolate Creation
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,9th,Black Forest Gâteau
6,1,Stu,Marley Madeira Cake,11th,Purple Forest Gâteau
6,1,Tamal,Pistachio and Rose Madeira Cake,4th,Black Forest Gâteau in a Chocolate Shell
6,1,Ugnė,Lemon and Thyme Madeira Cake,1st,Falling Cup Gâteau
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",6th,Gingerbread Box filled with Brandy Snaps
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,1st,Box of Frogs
6,2,Flora,Wedding Biscotti,2nd,Honey and Earl Grey Tea Box
6,2,Ian,"Orange, Rosemary and Almond Biscotti",3rd,Sandwich de la Confiture
6,2,Marie,Biscotti Italiano,11th,Russian Box
6,2,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",5th,Gingerbread Fire Engine
6,2,Nadiya,"Coconut, Fennel and Pistachio Biscotti",9th,Box of Fortunes
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",10th,Memory Box
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,4th,Sundried Tomato Cheese Biscuit Box
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",8th,Chessboard Box
6,2,Ugnė,White Wine Biscotti,7th,Baby Climbing into the Cookie Box
